datetime,YEAR,MONTH,DAY,HOUR,MINUTE,Temp_C,Weather_Description,Wind_Speed,Humidity,Air_Pressure
01/10/2012 12:00,2012,10,1,12,0,,,,,
01/10/2012 13:00,2012,10,1,13,0,11.48,mist,0,76,
01/10/2012 14:00,2012,10,1,14,0,11.48,broken clouds,0,76,
01/10/2012 15:00,2012,10,1,15,0,11.48,broken clouds,0,76,
01/10/2012 16:00,2012,10,1,16,0,11.47,broken clouds,0,77,
01/10/2012 17:00,2012,10,1,17,0,11.47,broken clouds,0,78,
01/10/2012 18:00,2012,10,1,18,0,11.47,broken clouds,0,78,
01/10/2012 19:00,2012,10,1,19,0,11.47,broken clouds,0,79,
01/10/2012 20:00,2012,10,1,20,0,11.47,broken clouds,0,79,
01/10/2012 21:00,2012,10,1,21,0,11.46,broken clouds,0,80,
01/10/2012 22:00,2012,10,1,22,0,11.46,broken clouds,0,81,
01/10/2012 23:00,2012,10,1,23,0,11.46,broken clouds,0,81,
02/10/2012 0:00,2012,10,2,0,0,11.46,broken clouds,0,82,
02/10/2012 1:00,2012,10,2,1,0,11.46,broken clouds,0,83,
02/10/2012 2:00,2012,10,2,2,0,11.45,broken clouds,0,83,
02/10/2012 3:00,2012,10,2,3,0,11.45,broken clouds,0,84,
02/10/2012 4:00,2012,10,2,4,0,11.45,broken clouds,0,84,
02/10/2012 5:00,2012,10,2,5,0,11.45,broken clouds,0,85,
02/10/2012 6:00,2012,10,2,6,0,11.45,broken clouds,0,86,
02/10/2012 7:00,2012,10,2,7,0,11.44,broken clouds,0,86,
02/10/2012 8:00,2012,10,2,8,0,11.44,broken clouds,0,87,
02/10/2012 9:00,2012,10,2,9,0,11.44,broken clouds,0,87,807
02/10/2012 10:00,2012,10,2,10,0,11.44,broken clouds,0,88,849
02/10/2012 11:00,2012,10,2,11,0,11.44,broken clouds,0,89,890
02/10/2012 12:00,2012,10,2,12,0,11.43,broken clouds,0,89,932
02/10/2012 13:00,2012,10,2,13,0,11.43,broken clouds,0,90,973
02/10/2012 14:00,2012,10,2,14,0,11.43,sky is clear,0,91,1015
02/10/2012 15:00,2012,10,2,15,0,11.7,sky is clear,0,89,1027
02/10/2012 16:00,2012,10,2,16,0,13.11,sky is clear,0,76,1015
02/10/2012 17:00,2012,10,2,17,0,13.62,sky is clear,0,76,1014
02/10/2012 18:00,2012,10,2,18,0,15.8,sky is clear,0,67,
02/10/2012 19:00,2012,10,2,19,0,16.36,sky is clear,0,58,1013
02/10/2012 20:00,2012,10,2,20,0,16.52,sky is clear,0,53,1012
02/10/2012 21:00,2012,10,2,21,0,17.14,sky is clear,0,47,1011
02/10/2012 22:00,2012,10,2,22,0,17.94,sky is clear,0,45,1010
02/10/2012 23:00,2012,10,2,23,0,18.03,light rain,0,52,
03/10/2012 0:00,2012,10,3,0,0,18.11,sky is clear,0,49,1008
03/10/2012 1:00,2012,10,3,1,0,17.47,sky is clear,0,57,1008
03/10/2012 2:00,2012,10,3,2,0,14.96,sky is clear,0,72,
03/10/2012 3:00,2012,10,3,3,0,14.06,sky is clear,0,76,
03/10/2012 4:00,2012,10,3,4,0,13.45,sky is clear,1,83,1008
03/10/2012 5:00,2012,10,3,5,0,12.81,sky is clear,0,87,
03/10/2012 6:00,2012,10,3,6,0,12.48,sky is clear,11,76,
03/10/2012 7:00,2012,10,3,7,0,11.56,sky is clear,0,81,
03/10/2012 8:00,2012,10,3,8,0,11.63,sky is clear,0,80,1009
03/10/2012 9:00,2012,10,3,9,0,11.09,sky is clear,0,81,1009
03/10/2012 10:00,2012,10,3,10,0,11.02,sky is clear,0,83,1009
03/10/2012 11:00,2012,10,3,11,0,10.1,sky is clear,0,85,1010
03/10/2012 12:00,2012,10,3,12,0,10.14,sky is clear,0,87,
03/10/2012 13:00,2012,10,3,13,0,10.2,sky is clear,0,87,1010
03/10/2012 14:00,2012,10,3,14,0,9.38,sky is clear,0,85,1010
03/10/2012 15:00,2012,10,3,15,0,9.68,sky is clear,0,80,1010
03/10/2012 16:00,2012,10,3,16,0,9.98,sky is clear,0,75,1010
03/10/2012 17:00,2012,10,3,17,0,10.28,sky is clear,1,70,1011
03/10/2012 18:00,2012,10,3,18,0,10.77,sky is clear,0,62,1012
03/10/2012 19:00,2012,10,3,19,0,11.91,sky is clear,0,63,1012
03/10/2012 20:00,2012,10,3,20,0,13.08,sky is clear,0,47,1012
03/10/2012 21:00,2012,10,3,21,0,13.58,sky is clear,0,48,1012
03/10/2012 22:00,2012,10,3,22,0,14.31,few clouds,0,51,
03/10/2012 23:00,2012,10,3,23,0,15.03,sky is clear,0,54,
04/10/2012 0:00,2012,10,4,0,0,15.09,sky is clear,0,,
04/10/2012 1:00,2012,10,4,1,0,13.35,sky is clear,0,62,
04/10/2012 2:00,2012,10,4,2,0,12.24,sky is clear,1,71,
04/10/2012 3:00,2012,10,4,3,0,11.11,sky is clear,0,71,
04/10/2012 4:00,2012,10,4,4,0,10.31,sky is clear,1,70,
04/10/2012 5:00,2012,10,4,5,0,10.59,sky is clear,1,57,
04/10/2012 6:00,2012,10,4,6,0,9.56,sky is clear,0,61,
04/10/2012 7:00,2012,10,4,7,0,9.29,sky is clear,0,70,1017
04/10/2012 8:00,2012,10,4,8,0,8.41,sky is clear,1,72,1018
04/10/2012 9:00,2012,10,4,9,0,8.27,sky is clear,3,71,1018
04/10/2012 10:00,2012,10,4,10,0,8.15,sky is clear,0,,
04/10/2012 11:00,2012,10,4,11,0,7.82,sky is clear,3,45,1019
04/10/2012 12:00,2012,10,4,12,0,7.77,sky is clear,1,43,1019
04/10/2012 13:00,2012,10,4,13,0,7.76,sky is clear,3,41,1019
04/10/2012 14:00,2012,10,4,14,0,6.89,sky is clear,0,40,1019
04/10/2012 15:00,2012,10,4,15,0,7,sky is clear,0,,
